ReviewID,DestinationID_x,UserID,Rating,ReviewText,Name_x,State,Type,Popularity,BestTimeToVisit,HistoryID,DestinationID_y,VisitDate,ExperienceRating,Name_y,Email,Preferences,Gender,NumberOfAdults,NumberOfChildren
16,434,20,4,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.707253749,Sep-Mar,472,311,01-01-2024,5,Meera,meera@example.com,"Nature, Adventure",Female,2,0
16,434,20,4,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.707253749,Sep-Mar,799,674,01-01-2024,4,Meera,meera@example.com,"Nature, Adventure",Female,2,0
17,416,554,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.32701478,Nov-Feb,49,933,01-01-2024,1,Kavya,kavya@example.com,"Nature, Adventure",Female,1,2
17,416,554,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.32701478,Nov-Feb,489,529,20-03-2024,4,Kavya,kavya@example.com,"Nature, Adventure",Female,1,2
19,849,69,1,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.749274376,Sep-Mar,84,92,20-03-2024,2,Arjun,arjun@example.com,"City, Historical",Male,1,0
19,849,69,1,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.749274376,Sep-Mar,428,170,15-02-2024,2,Arjun,arjun@example.com,"City, Historical",Male,1,0
24,512,30,4,A historical wonder,Goa Beaches,Goa,Beach,9.222486405,Nov-Mar,541,239,01-01-2024,5,Riya,riya@example.com,"City, Historical",Female,1,1
26,966,591,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.140527124,Nov-Feb,59,893,15-02-2024,1,Hitesh,hitesh@example.com,"City, Historical",Male,1,1
26,966,591,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.140527124,Nov-Feb,532,679,01-01-2024,4,Hitesh,hitesh@example.com,"City, Historical",Male,1,1
27,674,454,5,A historical wonder,Kerala Backwaters,Kerala,Nature,8.000500722,Sep-Mar,375,676,20-03-2024,2,Hitesh,hitesh@example.com,"Beaches, Historical",Male,2,0
27,674,454,5,A historical wonder,Kerala Backwaters,Kerala,Nature,8.000500722,Sep-Mar,865,457,01-01-2024,2,Hitesh,hitesh@example.com,"Beaches, Historical",Male,2,0
28,56,982,2,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.779339175,Nov-Feb,553,544,01-01-2024,1,Meera,meera@example.com,"Beaches, Historical",Female,2,2
30,160,356,1,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.03668464,Apr-Jun,136,993,01-01-2024,2,Ishaan,ishaan@example.com,"Nature, Adventure",Male,1,1
30,160,356,1,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.03668464,Apr-Jun,487,436,01-01-2024,2,Ishaan,ishaan@example.com,"Nature, Adventure",Male,1,1
32,56,322,3,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.779339175,Nov-Feb,833,618,15-02-2024,5,Aanya,aanya@example.com,"Beaches, Historical",Female,2,0
32,56,322,3,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.779339175,Nov-Feb,978,424,20-03-2024,3,Aanya,aanya@example.com,"Beaches, Historical",Female,2,0
33,515,332,4,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,9.481318667,Apr-Jun,638,583,15-02-2024,1,Riya,riya@example.com,"Nature, Adventure",Female,2,1
34,780,979,4,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,9.291685938,Apr-Jun,152,68,15-02-2024,2,Rohan,rohan@example.com,"Beaches, Historical",Male,1,2
35,382,637,1,Loved the beaches!,Goa Beaches,Goa,Beach,8.487140997,Nov-Mar,723,24,20-03-2024,1,Ishaan,ishaan@example.com,"Beaches, Historical",Male,1,0
35,382,637,1,Loved the beaches!,Goa Beaches,Goa,Beach,8.487140997,Nov-Mar,736,637,01-01-2024,5,Ishaan,ishaan@example.com,"Beaches, Historical",Male,1,0
36,24,872,3,A historical wonder,Kerala Backwaters,Kerala,Nature,9.182423104,Sep-Mar,875,782,15-02-2024,1,Hitesh,hitesh@example.com,"Nature, Adventure",Male,1,1
37,390,560,2,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.854728504,Apr-Jun,347,38,15-02-2024,1,Tanvi,tanvi@example.com,"Nature, Adventure",Female,1,1
37,390,560,2,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.854728504,Apr-Jun,529,349,01-01-2024,4,Tanvi,tanvi@example.com,"Nature, Adventure",Female,1,1
37,390,560,2,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.854728504,Apr-Jun,569,657,15-02-2024,3,Tanvi,tanvi@example.com,"Nature, Adventure",Female,1,1
38,204,551,3,Loved the beaches!,Kerala Backwaters,Kerala,Nature,7.963483704,Sep-Mar,862,944,01-01-2024,1,Dhruv,dhruv@example.com,"Nature, Adventure",Male,2,2
39,84,133,2,A historical wonder,Kerala Backwaters,Kerala,Nature,9.333748543,Sep-Mar,288,242,20-03-2024,4,Ritvik,ritvik@example.com,"Beaches, Historical",Male,2,2
40,711,497,4,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.636551596,Nov-Feb,917,103,15-02-2024,1,Aarav,aarav@example.com,"Nature, Adventure",Male,2,1
40,711,497,4,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.636551596,Nov-Feb,957,369,20-03-2024,2,Aarav,aarav@example.com,"Nature, Adventure",Male,2,1
43,399,501,5,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.376325562,Sep-Mar,21,200,20-03-2024,1,Arjun,arjun@example.com,"City, Historical",Male,2,0
44,57,539,1,Loved the beaches!,Goa Beaches,Goa,Beach,8.061326287,Nov-Mar,161,282,15-02-2024,4,Aarav,aarav@example.com,"Nature, Adventure",Male,1,2
44,57,539,1,Loved the beaches!,Goa Beaches,Goa,Beach,8.061326287,Nov-Mar,208,684,01-01-2024,1,Aarav,aarav@example.com,"Nature, Adventure",Male,1,2
45,763,535,4,A historical wonder,Jaipur City,Rajasthan,City,8.902575504,Oct-Mar,509,317,15-02-2024,4,Aanya,aanya@example.com,"Beaches, Historical",Female,1,2
45,763,535,4,A historical wonder,Jaipur City,Rajasthan,City,8.902575504,Oct-Mar,835,268,01-01-2024,1,Aanya,aanya@example.com,"Beaches, Historical",Female,1,2
47,841,655,1,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.641198251,Nov-Feb,972,795,20-03-2024,5,Kavya,kavya@example.com,"Beaches, Historical",Female,1,1
50,152,480,2,Loved the beaches!,Goa Beaches,Goa,Beach,9.000248319,Nov-Mar,149,389,15-02-2024,1,Riya,riya@example.com,"City, Historical",Female,2,0
50,152,480,2,Loved the beaches!,Goa Beaches,Goa,Beach,9.000248319,Nov-Mar,646,490,01-01-2024,2,Riya,riya@example.com,"City, Historical",Female,2,0
51,523,488,1,A historical wonder,Jaipur City,Rajasthan,City,8.998307151,Oct-Mar,48,532,20-03-2024,2,Anika,anika@example.com,"Nature, Adventure",Female,1,0
52,316,211,1,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.033280743,Nov-Feb,211,714,01-01-2024,3,Anika,anika@example.com,"Beaches, Historical",Female,2,2
53,956,875,4,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.240773308,Nov-Feb,827,330,15-02-2024,2,Hitesh,hitesh@example.com,"Nature, Adventure",Male,2,0
54,665,321,5,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.175473129,Apr-Jun,281,805,15-02-2024,4,Tanvi,tanvi@example.com,"City, Historical",Female,2,2
54,665,321,5,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.175473129,Apr-Jun,341,229,15-02-2024,5,Tanvi,tanvi@example.com,"City, Historical",Female,2,2
55,503,903,1,Incredible monument!,Jaipur City,Rajasthan,City,8.918823544,Oct-Mar,853,16,01-01-2024,5,Hitesh,hitesh@example.com,"City, Historical",Male,2,1
56,204,499,2,Loved the beaches!,Kerala Backwaters,Kerala,Nature,7.963483704,Sep-Mar,339,830,20-03-2024,3,Aarav,aarav@example.com,"Beaches, Historical",Male,2,0
57,33,554,2,A historical wonder,Jaipur City,Rajasthan,City,7.684440449,Oct-Mar,49,933,01-01-2024,1,Kavya,kavya@example.com,"Nature, Adventure",Female,1,2
57,33,554,2,A historical wonder,Jaipur City,Rajasthan,City,7.684440449,Oct-Mar,489,529,20-03-2024,4,Kavya,kavya@example.com,"Nature, Adventure",Female,1,2
59,916,135,3,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.396761498,Nov-Feb,696,836,20-03-2024,5,Meera,meera@example.com,"City, Historical",Female,1,2
59,916,135,3,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.396761498,Nov-Feb,981,818,20-03-2024,4,Meera,meera@example.com,"City, Historical",Female,1,2
61,365,851,1,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.878382688,Apr-Jun,153,266,20-03-2024,4,Anika,anika@example.com,"Nature, Adventure",Female,2,0
61,365,851,1,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.878382688,Apr-Jun,792,956,20-03-2024,3,Anika,anika@example.com,"Nature, Adventure",Female,2,0
61,365,851,1,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.878382688,Apr-Jun,843,384,20-03-2024,4,Anika,anika@example.com,"Nature, Adventure",Female,2,0
62,517,572,3,Loved the beaches!,Goa Beaches,Goa,Beach,8.715019439,Nov-Mar,356,699,15-02-2024,4,Meera,meera@example.com,"Nature, Adventure",Female,2,2
62,517,572,3,Loved the beaches!,Goa Beaches,Goa,Beach,8.715019439,Nov-Mar,446,413,15-02-2024,5,Meera,meera@example.com,"Nature, Adventure",Female,2,2
62,517,572,3,Loved the beaches!,Goa Beaches,Goa,Beach,8.715019439,Nov-Mar,535,685,01-01-2024,3,Meera,meera@example.com,"Nature, Adventure",Female,2,2
63,305,103,2,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.111872494,Apr-Jun,748,828,01-01-2024,2,Aanya,aanya@example.com,"Beaches, Historical",Female,1,0
64,931,668,1,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,9.309322897,Nov-Feb,615,322,20-03-2024,4,Dhruv,dhruv@example.com,"Nature, Adventure",Male,2,0
65,351,569,1,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.488999182,Nov-Feb,500,451,15-02-2024,2,Aanya,aanya@example.com,"Nature, Adventure",Female,2,2
69,181,740,1,A historical wonder,Taj Mahal,Uttar Pradesh,Historical,9.236840653,Nov-Feb,971,692,15-02-2024,3,Isha,isha@example.com,"Nature, Adventure",Female,1,1
70,817,989,4,Incredible monument!,Goa Beaches,Goa,Beach,7.999026975,Nov-Mar,5,389,15-02-2024,4,Ritvik,ritvik@example.com,"Nature, Adventure",Male,2,1
70,817,989,4,Incredible monument!,Goa Beaches,Goa,Beach,7.999026975,Nov-Mar,12,779,20-03-2024,4,Ritvik,ritvik@example.com,"Nature, Adventure",Male,2,1
72,373,112,4,A historical wonder,Jaipur City,Rajasthan,City,9.276956976,Oct-Mar,871,691,01-01-2024,5,Karan,karan@example.com,"Beaches, Historical",Male,1,2
75,23,684,4,A historical wonder,Jaipur City,Rajasthan,City,7.883349652,Oct-Mar,385,281,01-01-2024,2,Aditya,aditya@example.com,"City, Historical",Male,1,0
75,23,684,4,A historical wonder,Jaipur City,Rajasthan,City,7.883349652,Oct-Mar,570,772,20-03-2024,2,Aditya,aditya@example.com,"City, Historical",Male,1,0
75,23,684,4,A historical wonder,Jaipur City,Rajasthan,City,7.883349652,Oct-Mar,989,142,15-02-2024,2,Aditya,aditya@example.com,"City, Historical",Male,1,0
76,140,548,4,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.907807741,Apr-Jun,258,880,20-03-2024,4,Dhruv,dhruv@example.com,"Nature, Adventure",Male,1,0
78,590,340,4,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.171090109,Apr-Jun,965,645,15-02-2024,2,Diya,diya@example.com,"Beaches, Historical",Female,1,0
79,146,575,5,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.37384412,Nov-Feb,167,311,15-02-2024,2,Ritvik,ritvik@example.com,"Nature, Adventure",Male,1,2
79,146,575,5,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.37384412,Nov-Feb,299,957,15-02-2024,5,Ritvik,ritvik@example.com,"Nature, Adventure",Male,1,2
80,939,182,3,Loved the beaches!,Kerala Backwaters,Kerala,Nature,8.408724187,Sep-Mar,366,7,20-03-2024,5,Ritvik,ritvik@example.com,"Nature, Adventure",Male,1,1
81,507,359,3,A historical wonder,Goa Beaches,Goa,Beach,8.240547501,Nov-Mar,238,864,01-01-2024,4,Ishaan,ishaan@example.com,"Nature, Adventure",Male,2,1
81,507,359,3,A historical wonder,Goa Beaches,Goa,Beach,8.240547501,Nov-Mar,254,678,15-02-2024,2,Ishaan,ishaan@example.com,"Nature, Adventure",Male,2,1
81,507,359,3,A historical wonder,Goa Beaches,Goa,Beach,8.240547501,Nov-Mar,450,353,20-03-2024,4,Ishaan,ishaan@example.com,"Nature, Adventure",Male,2,1
83,743,862,4,Loved the beaches!,Jaipur City,Rajasthan,City,7.727596682,Oct-Mar,264,525,20-03-2024,3,Arjun,arjun@example.com,"Beaches, Historical",Male,1,1
83,743,862,4,Loved the beaches!,Jaipur City,Rajasthan,City,7.727596682,Oct-Mar,558,103,20-03-2024,2,Arjun,arjun@example.com,"Beaches, Historical",Male,1,1
85,867,757,1,Incredible monument!,Goa Beaches,Goa,Beach,7.54478424,Nov-Mar,147,126,20-03-2024,2,Karan,karan@example.com,"Beaches, Historical",Male,1,0
85,867,757,1,Incredible monument!,Goa Beaches,Goa,Beach,7.54478424,Nov-Mar,325,36,01-01-2024,5,Karan,karan@example.com,"Beaches, Historical",Male,1,0
85,867,757,1,Incredible monument!,Goa Beaches,Goa,Beach,7.54478424,Nov-Mar,585,528,20-03-2024,4,Karan,karan@example.com,"Beaches, Historical",Male,1,0
92,226,628,1,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,7.721478394,Nov-Feb,80,631,15-02-2024,5,Saanvi,saanvi@example.com,"Beaches, Historical",Female,1,2
92,226,628,1,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,7.721478394,Nov-Feb,412,35,01-01-2024,5,Saanvi,saanvi@example.com,"Beaches, Historical",Female,1,2
93,304,225,4,A historical wonder,Kerala Backwaters,Kerala,Nature,8.611208289,Sep-Mar,950,64,15-02-2024,5,Isha,isha@example.com,"City, Historical",Female,2,0
94,234,538,1,Incredible monument!,Kerala Backwaters,Kerala,Nature,9.42096054,Sep-Mar,269,837,15-02-2024,1,Anika,anika@example.com,"Beaches, Historical",Female,2,1
94,234,538,1,Incredible monument!,Kerala Backwaters,Kerala,Nature,9.42096054,Sep-Mar,999,30,20-03-2024,5,Anika,anika@example.com,"Beaches, Historical",Female,2,1
95,14,590,3,Loved the beaches!,Kerala Backwaters,Kerala,Nature,8.551426231,Sep-Mar,797,171,15-02-2024,4,Ishaan,ishaan@example.com,"Nature, Adventure",Male,1,2
96,671,700,4,A historical wonder,Taj Mahal,Uttar Pradesh,Historical,9.406991631,Nov-Feb,717,535,20-03-2024,4,Aarav,aarav@example.com,"Beaches, Historical",Male,1,2
97,961,563,3,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.385107105,Nov-Feb,126,403,20-03-2024,3,Karan,karan@example.com,"Nature, Adventure",Male,2,2
98,343,937,4,Loved the beaches!,Jaipur City,Rajasthan,City,7.873481446,Oct-Mar,651,712,20-03-2024,1,Riya,riya@example.com,"Beaches, Historical",Female,2,2
104,960,568,4,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,8.925500312,Apr-Jun,942,805,20-03-2024,5,Saanvi,saanvi@example.com,"Beaches, Historical",Female,2,0
106,917,944,1,Incredible monument!,Goa Beaches,Goa,Beach,7.545108072,Nov-Mar,113,391,15-02-2024,4,Riya,riya@example.com,"Nature, Adventure",Female,2,0
106,917,944,1,Incredible monument!,Goa Beaches,Goa,Beach,7.545108072,Nov-Mar,133,749,01-01-2024,4,Riya,riya@example.com,"Nature, Adventure",Female,2,0
106,917,944,1,Incredible monument!,Goa Beaches,Goa,Beach,7.545108072,Nov-Mar,503,732,15-02-2024,3,Riya,riya@example.com,"Nature, Adventure",Female,2,0
106,917,944,1,Incredible monument!,Goa Beaches,Goa,Beach,7.545108072,Nov-Mar,610,702,01-01-2024,3,Riya,riya@example.com,"Nature, Adventure",Female,2,0
107,555,212,5,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,9.042176517,Apr-Jun,824,42,15-02-2024,1,Tanvi,tanvi@example.com,"Nature, Adventure",Female,2,0
108,648,397,4,A historical wonder,Jaipur City,Rajasthan,City,8.771306422,Oct-Mar,750,85,20-03-2024,3,Anika,anika@example.com,"Beaches, Historical",Female,2,0
109,103,99,4,Incredible monument!,Jaipur City,Rajasthan,City,9.293866271,Oct-Mar,980,37,15-02-2024,4,Ishaan,ishaan@example.com,"City, Historical",Male,2,0
110,715,474,2,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,8.402277983,Apr-Jun,225,899,20-03-2024,1,Ritvik,ritvik@example.com,"City, Historical",Male,2,2
110,715,474,2,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,8.402277983,Apr-Jun,573,273,20-03-2024,4,Ritvik,ritvik@example.com,"City, Historical",Male,2,2
110,715,474,2,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,8.402277983,Apr-Jun,967,24,01-01-2024,5,Ritvik,ritvik@example.com,"City, Historical",Male,2,2
113,295,242,3,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,9.301807912,Apr-Jun,439,459,01-01-2024,5,Isha,isha@example.com,"Nature, Adventure",Female,2,1
115,707,2,5,Incredible monument!,Goa Beaches,Goa,Beach,8.62911875,Nov-Mar,31,385,01-01-2024,5,Rohan,rohan@example.com,"Nature, Adventure",Male,2,2
115,707,2,5,Incredible monument!,Goa Beaches,Goa,Beach,8.62911875,Nov-Mar,451,437,01-01-2024,2,Rohan,rohan@example.com,"Nature, Adventure",Male,2,2
116,160,43,4,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,8.03668464,Apr-Jun,726,200,20-03-2024,1,Riya,riya@example.com,"Beaches, Historical",Female,1,2
119,969,446,4,Loved the beaches!,Kerala Backwaters,Kerala,Nature,9.409359527,Sep-Mar,72,105,20-03-2024,3,Saanvi,saanvi@example.com,"Nature, Adventure",Female,2,2
119,969,446,4,Loved the beaches!,Kerala Backwaters,Kerala,Nature,9.409359527,Sep-Mar,442,115,01-01-2024,4,Saanvi,saanvi@example.com,"Nature, Adventure",Female,2,2
120,346,899,5,A historical wonder,Taj Mahal,Uttar Pradesh,Historical,8.969950616,Nov-Feb,109,9,01-01-2024,1,Anika,anika@example.com,"Nature, Adventure",Female,1,1
121,486,415,5,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,9.250030402,Nov-Feb,349,216,01-01-2024,4,Arjun,arjun@example.com,"Beaches, Historical",Male,1,2
123,709,218,5,A historical wonder,Kerala Backwaters,Kerala,Nature,9.155527396,Sep-Mar,213,258,20-03-2024,1,Saanvi,saanvi@example.com,"Nature, Adventure",Female,2,2
123,709,218,5,A historical wonder,Kerala Backwaters,Kerala,Nature,9.155527396,Sep-Mar,230,484,15-02-2024,3,Saanvi,saanvi@example.com,"Nature, Adventure",Female,2,2
124,206,128,5,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,9.282226276,Nov-Feb,311,330,15-02-2024,3,Rohan,rohan@example.com,"Nature, Adventure",Male,2,2
125,280,940,2,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,7.639341731,Apr-Jun,562,411,01-01-2024,5,Anika,anika@example.com,"Beaches, Historical",Female,1,1
126,503,682,5,A historical wonder,Jaipur City,Rajasthan,City,8.918823544,Oct-Mar,353,335,15-02-2024,2,Hitesh,hitesh@example.com,"Beaches, Historical",Male,2,0
127,93,805,1,Incredible monument!,Jaipur City,Rajasthan,City,9.116298425,Oct-Mar,127,428,01-01-2024,3,Ishaan,ishaan@example.com,"Beaches, Historical",Male,1,2
128,983,851,2,Loved the beaches!,Jaipur City,Rajasthan,City,9.08021632,Oct-Mar,153,266,20-03-2024,4,Anika,anika@example.com,"Nature, Adventure",Female,2,0
128,983,851,2,Loved the beaches!,Jaipur City,Rajasthan,City,9.08021632,Oct-Mar,792,956,20-03-2024,3,Anika,anika@example.com,"Nature, Adventure",Female,2,0
128,983,851,2,Loved the beaches!,Jaipur City,Rajasthan,City,9.08021632,Oct-Mar,843,384,20-03-2024,4,Anika,anika@example.com,"Nature, Adventure",Female,2,0
129,9,509,3,A historical wonder,Kerala Backwaters,Kerala,Nature,9.260450137,Sep-Mar,869,849,15-02-2024,1,Hitesh,hitesh@example.com,"Nature, Adventure",Male,1,0
130,2,528,3,Incredible monument!,Goa Beaches,Goa,Beach,8.605031858,Nov-Mar,517,872,01-01-2024,4,Isha,isha@example.com,"City, Historical",Female,2,1
130,2,528,3,Incredible monument!,Goa Beaches,Goa,Beach,8.605031858,Nov-Mar,519,824,20-03-2024,1,Isha,isha@example.com,"City, Historical",Female,2,1
130,2,528,3,Incredible monument!,Goa Beaches,Goa,Beach,8.605031858,Nov-Mar,657,619,20-03-2024,2,Isha,isha@example.com,"City, Historical",Female,2,1
131,542,207,3,Loved the beaches!,Goa Beaches,Goa,Beach,8.68210175,Nov-Mar,743,587,15-02-2024,3,Ritvik,ritvik@example.com,"City, Historical",Male,2,2
132,210,54,1,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.277611273,Apr-Jun,603,678,20-03-2024,2,Dhruv,dhruv@example.com,"City, Historical",Male,2,0
133,302,169,3,Incredible monument!,Goa Beaches,Goa,Beach,7.649281077,Nov-Mar,507,196,20-03-2024,5,Anika,anika@example.com,"Beaches, Historical",Female,2,2
133,302,169,3,Incredible monument!,Goa Beaches,Goa,Beach,7.649281077,Nov-Mar,892,392,01-01-2024,1,Anika,anika@example.com,"Beaches, Historical",Female,2,2
134,209,764,3,Loved the beaches!,Kerala Backwaters,Kerala,Nature,7.65054329,Sep-Mar,905,735,15-02-2024,3,Riya,riya@example.com,"Nature, Adventure",Female,2,1
135,700,919,1,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.878652899,Apr-Jun,373,413,01-01-2024,2,Aanya,aanya@example.com,"Beaches, Historical",Female,1,1
137,960,612,1,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,8.925500312,Apr-Jun,635,962,15-02-2024,5,Aanya,aanya@example.com,"City, Historical",Female,2,0
139,47,703,2,Incredible monument!,Goa Beaches,Goa,Beach,7.726020725,Nov-Mar,146,82,15-02-2024,2,Vivaan,vivaan@example.com,"Beaches, Historical",Male,2,1
143,531,582,2,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,7.819012403,Nov-Feb,284,518,15-02-2024,4,Anika,anika@example.com,"City, Historical",Female,2,2
145,864,397,4,Incredible monument!,Kerala Backwaters,Kerala,Nature,9.147968243,Sep-Mar,750,85,20-03-2024,3,Anika,anika@example.com,"Beaches, Historical",Female,2,0
148,953,34,4,Incredible monument!,Jaipur City,Rajasthan,City,8.321398767,Oct-Mar,95,886,15-02-2024,5,Meera,meera@example.com,"Beaches, Historical",Female,1,2
148,953,34,4,Incredible monument!,Jaipur City,Rajasthan,City,8.321398767,Oct-Mar,790,910,01-01-2024,5,Meera,meera@example.com,"Beaches, Historical",Female,1,2
148,953,34,4,Incredible monument!,Jaipur City,Rajasthan,City,8.321398767,Oct-Mar,915,297,20-03-2024,1,Meera,meera@example.com,"Beaches, Historical",Female,1,2
149,959,589,2,Loved the beaches!,Kerala Backwaters,Kerala,Nature,9.052548436,Sep-Mar,994,20,01-01-2024,1,Arjun,arjun@example.com,"Beaches, Historical",Male,2,2
151,434,943,2,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.707253749,Sep-Mar,394,990,01-01-2024,5,Hitesh,hitesh@example.com,"Beaches, Historical",Male,2,1
151,434,943,2,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.707253749,Sep-Mar,565,479,01-01-2024,4,Hitesh,hitesh@example.com,"Beaches, Historical",Male,2,1
153,356,490,2,A historical wonder,Taj Mahal,Uttar Pradesh,Historical,8.606176984,Nov-Feb,548,4,15-02-2024,1,Isha,isha@example.com,"Beaches, Historical",Female,2,1
154,884,478,4,Incredible monument!,Kerala Backwaters,Kerala,Nature,9.241444803,Sep-Mar,784,539,01-01-2024,2,Arjun,arjun@example.com,"Beaches, Historical",Male,2,0
155,886,639,3,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,7.713067195,Nov-Feb,444,545,20-03-2024,5,Ishaan,ishaan@example.com,"City, Historical",Male,1,2
156,702,708,4,A historical wonder,Goa Beaches,Goa,Beach,9.111768717,Nov-Mar,46,127,01-01-2024,4,Dhruv,dhruv@example.com,"City, Historical",Male,1,1
156,702,708,4,A historical wonder,Goa Beaches,Goa,Beach,9.111768717,Nov-Mar,344,395,15-02-2024,2,Dhruv,dhruv@example.com,"City, Historical",Male,1,1
157,358,524,1,Incredible monument!,Jaipur City,Rajasthan,City,7.738761293,Oct-Mar,115,476,01-01-2024,5,Diya,diya@example.com,"Nature, Adventure",Female,2,2
